ms:float,v:float
2017993.010044098,76.79644
2018711.7998600006,83.47439
2019477.4599075317,78.36371
2020289.999961853,73.84275
2021086.9100093842,75.29063
2021790.0698184967,85.32937
2022555.7298660278,78.36371
2023399.5099067688,71.10783
2024227.6799678802,72.44947
2024946.4600086212,83.47439
2025665.2400493622,83.47439
2026384.029865265,83.47441
2027165.3099060059,76.79644
2028009.0999603271,71.10782
2028727.8900146484,83.47439
2029446.6698169708,83.47441
2030212.329864502,78.36371
2030977.989912033,78.36371
2031821.7799663544,71.10782
2032540.5600070953,83.47441
2033243.719816208,85.32937
2034025.0098705292,76.79646
2042322.2699165344,91.42435
2043041.0499572754,83.47439
2043744.2100048065,85.3294
2044384.8600387573,93.65418
2045056.7698478699,89.2982
2045634.9198818207,103.7789
2046259.9499225616,95.99557
2046916.2299633026,91.42432
2047635.0100040436,83.47441
2048431.9200515747,75.29063
2049119.4598674774,87.26867
2049806.9899082184,87.2687
2050494.5199489594,87.26867
2051150.7999897003,91.42435
2051791.4500236511,93.65418
2052432.1098327637,93.65421
2053072.7598667145,93.65418
2053729.0399074554,91.42435
2054416.5799617767,87.26867
2055166.6100025177,79.99632
2055901.0200500488,81.69833
2056572.9298591614,89.2982
2057260.4598999023,87.26867
2061698.1599330902,87.26867
2062432.5699806213,81.69833
2063182.6100349426,79.99632
2063917.0198440552,81.69833
2064635.7998847961,83.47439
2065401.4599323273,78.36374
2066213.9999866486,73.84273
2066948.4100341797,81.69833
2067667.189836502,83.47441
2068401.5998840332,81.69833
2069136.0099315643,81.69833
2069823.5399723053,87.2687
2070526.7000198364,85.32937
2071323.609828949,75.29063
2072198.6498832703,68.56825
2072917.4299240112,83.47441
2073761.2199783325,71.10782
2074651.890039444,67.3653
2075386.2998485565,81.69833
2076120.7098960876,81.69833
2076823.8599300385,85.3294
2077542.6499843597,83.47439
2078214.5500183105,89.2982
2078902.0898342133,87.26867
2079667.7498817444,78.36371
2082855.3898334503,98.45695
2083496.0498809814,93.65421
2084167.9499149323,89.29817
2084839.8599624634,89.2982
2085527.3900032043,87.26867
2086199.3000507355,89.2982
2086902.459859848,85.32937
2087605.6098937988,85.32937
2088386.8999481201,76.79646
2089090.0599956512,85.32937
2093527.760028839,79.99628
2094230.9198379517,85.3294
2094934.0798854828,85.32937
2095543.4799194336,98.45699
2099387.409925461,76.79644
2100059.319972992,89.29817
2100824.980020523,78.36374
2101621.8898296356,75.29063
2102418.7998771667,75.29063
2103106.3299179077,87.26867
2103856.369972229,79.99632
2104559.52000618,85.32937
2105231.4298152924,89.2982
2105887.7098560333,91.42432
2106559.6199035645,89.2982
2107231.5199375153,89.29817
2108028.4299850464,75.29063
2108731.5900325775,85.3294
2109528.49984169,75.29063
2110419.1699028015,67.3653
2111122.3299503326,85.32937
2111903.6099910736,76.79646
2112653.650045395,79.99628
2113309.9298477173,91.42432
2114028.7098884583,83.47441
2114731.8699359894,85.32937
2115450.6499767303,83.47441
2116075.6800174713,95.99553
2116872.589826584,75.29063
2124138.559818268,87.26867
2124872.9598522186,81.69833
2125607.3698997498,81.69836
2126294.909954071,87.26867
2127107.439994812,73.84273
2127888.7300491333,76.79644
2128857.519865036,61.93262
2129670.0599193573,73.84273
2134342.1499729156,76.79644
2135029.6800136566,87.26867
2135764.089822769,81.69836
2136498.4998703003,81.69833
2137201.6599178314,85.32937
2137904.8199653625,85.3294
2138623.6000061035,83.47439
2139467.389822006,71.10782
2140154.919862747,87.2687
2140904.9599170685,79.99628
2141686.2399578094,76.79644
2142389.4000053406,85.3294
2143123.809814453,81.69833
2143858.2198619843,81.69833
2144623.8799095154,78.36374
2145311.4099502563,87.26867
2146030.1899909973,83.47441
2146748.9800453186,83.47439
2147514.639854431,78.36371
2148186.539888382,89.2982
2148952.199935913,78.36371
2152389.8599147797,83.47439
2153077.399969101,87.2687
2159296.429872513,67.3653
2160077.719926834,76.79644
2160765.249967575,87.26867
2161437.160015106,89.2982
2162202.8198242188,78.36371
2162905.97987175,85.32937
2171765.759944916,75.29063
2172640.799999237,68.56825
2173359.580039978,83.47441
2174218.999862671,69.81495
2179922.389984131,69.81495
2180750.550031662,72.44947
2181531.8398475647,76.79644
2182531.879901886,59.99723
2192719.8598384857,75.29063
2193516.769886017,75.29063
2194298.049926758,76.79644
2195032.459974289,81.69836
2195798.12002182,78.36371
2196673.159837723,68.56825
2197376.319885254,85.3294
2198141.979932785,78.36371
2198938.889980316,75.29063
2208392.4598693848,83.47441
2209126.869916916,81.69833
2209767.5199508667,93.65421
2210501.929998398,81.69833
2211236.340045929,81.69833
2211970.7498550415,81.69836
2212705.1599025726,81.69833
2213564.5699501038,69.81495
2220643.019914627,78.36371
2221314.929962158,89.29817
2235503.089904785,67.3653
2246472.349882126,95.99557
2247019.2499160767,109.7092
2247659.8999500275,93.65421
2248347.4299907684,87.26867
2260910.509824753,69.81495
2261691.799879074,76.79644
2262519.959926605,72.44947
2263301.2499809265,76.79646
2267317.059993744,81.69836
2268067.100048065,79.99628
2268832.7598571777,78.36371
2269645.2898979187,73.84273
2270395.32995224,79.99632
2271192.239999771,75.29063
2272082.909822464,67.3653
2273020.4498767853,63.99704
2277801.919937134,67.3653
2278489.4499778748,87.26867
2283020.910024643,79.99628
2294740.2098178864,73.84275
2295490.2398586273,79.99628
2296255.8999061584,78.36371
2297037.1899604797,76.79644
2297834.100008011,75.29065
2298599.7598171234,78.36371
2302568.6898231506,71.10782
2303349.979877472,76.79644
2304100.009918213,79.99628
2304896.9299793243,75.29065
2305756.3400268555,69.81495
2306475.119829178,83.47439
2307256.409883499,76.79644
2308068.9499378204,73.84273
2308772.1099853516,85.3294
2309506.5100193024,81.69833
2310381.5598487854,68.56825
2311178.4698963165,75.29063
2315006.7698955536,79.99628
2315741.1799430847,81.69833
2316538.089990616,75.29063
2317194.370031357,91.42435
2317913.149833679,83.47439
2318600.6898880005,87.2687
2319241.3399219513,93.65418
2319928.8699626923,87.2687
2320538.2800102234,98.45695
2321194.5600509644,91.42435
2321882.0898532867,87.26867
2322600.8698940277,83.47441
2323319.6499347687,83.47439
2323960.3099823,93.65421
2324647.840023041,87.26867
2325288.4998321533,93.65421
2325960.399866104,89.29817
2326632.3099136353,89.2982
2327272.959947586,93.65418
2327960.489988327,87.2687
2332507.5800418854,67.3653
2333507.6298713684,59.99723
2334273.2899188995,78.36371
2334960.8199596405,87.2687
2335710.8500003815,79.99628
2336445.2600479126,81.69833
2337226.5498638153,76.79646
2338054.7099113464,72.44947
2338773.4999656677,83.47439
